Order ID,Order Date,CustomerName,State,Region,DOW,Sale Price,Quantity,Cost per Item,PaymentMode,Category,Sub-Category,Profit,Profitability
B-25915,2023-12-19,Leonard,Illinois,MW,Tuesday,277,1,274,Credit Card,Electronics,Electronic Games,3.000000,Low
B-25794,2023-09-24,Anderson,Indiana,MW,Sunday,176,6,23,Credit Card,Electronics,Accessories,918.000000,Low
B-26007,2023-02-09,Johnson,Missouri,MW,Thursday,311,2,120,Credit Card,Furniture,Bookcases,382.000000,Low
B-25888,2023-12-02,Miller,Illinois,MW,Saturday,18,3,5,COD,Clothing,Hat,39.000000,Low
B-25888,2023-12-02,Miller,Illinois,MW,Saturday,223,3,73,Credit Card,Electronics,Phones,450.000000,Low
B-25888,2023-12-02,Miller,Illinois,MW,Saturday,646,3,286,Credit Card,Electronics,Electronic Games,1080.000000,Avg
B-25866,2023-11-16,Morgan,Indiana,MW,Thursday,51,2,19,Credit Card,Clothing,Scarf,64.000000,Low
B-25607,2023-04-06,Ramirez,Missouri,MW,Thursday,50,4,16,Credit Card,Clothing,Leggings,136.000000,Low
B-25875,2023-11-24,Patel,Ohio,MW,Friday,248,2,120,COD,Clothing,Dress,256.000000,Low
B-25967,2023-01-21,Caldwell,Ohio,MW,Saturday,119,4,36,Credit Card,Furniture,Furnishings,332.000000,Low
B-25967,2023-01-21,Caldwell,Ohio,MW,Saturday,17,2,8,Debit Card,Clothing,Skirt,18.000000,Low
B-25967,2023-01-21,Caldwell,Ohio,MW,Saturday,229,9,19,Debit Card,Clothing,Dress,1890.000000,Avg
B-25968,2023-01-21,Montgomery,Illinois,MW,Saturday,811,7,94,EFT,Electronics,Accessories,5019.000000,High
B-26040,2023-02-26,Long,Illinois,MW,Sunday,113,4,22,Debit Card,Clothing,Hat,364.000000,Low
B-26040,2023-02-26,Long,Illinois,MW,Sunday,38,2,15,Credit Card,Clothing,Scarf,46.000000,Low
B-26040,2023-02-26,Long,Illinois,MW,Sunday,833,3,247,EFT,Clothing,Pants,1758.000000,Avg
B-25830,2023-10-26,Kim,Indiana,MW,Thursday,1063,7,143,EFT,Electronics,Phones,6440.000000,High
B-25830,2023-10-26,Kim,Indiana,MW,Thursday,1954,3,391,COD,Electronics,Phones,4689.000000,High
B-25830,2023-10-26,Kim,Indiana,MW,Thursday,41,6,5,Credit Card,Clothing,Hat,216.000000,Low
B-25830,2023-10-26,Kim,Indiana,MW,Thursday,54,2,27,EFT,Clothing,Dress,54.000000,Low
B-25830,2023-10-26,Kim,Indiana,MW,Thursday,71,8,9,Credit Card,Clothing,Skirt,496.000000,Low
B-25830,2023-10-26,Kim,Indiana,MW,Thursday,93,2,39,Credit Card,Electronics,Accessories,108.000000,Low
B-25882,2023-11-26,Richards,Illinois,MW,Sunday,121,4,26,Credit Card,Clothing,Scarf,380.000000,Low
B-25774,2023-09-07,Alvarado,Illinois,MW,Thursday,38,2,22,EFT,Furniture,Furnishings,32.000000,Low
B-26008,2023-02-09,Elliott,Wisconsin,MW,Thursday,199,1,200,COD,Clothing,Dress,-1.000000,Loss
B-26008,2023-02-09,Elliott,Wisconsin,MW,Thursday,206,4,39,COD,Clothing,Hat,668.000000,Low
B-26008,2023-02-09,Elliott,Wisconsin,MW,Thursday,22,1,18,Credit Card,Clothing,Scarf,4.000000,Low
B-26008,2023-02-09,Elliott,Wisconsin,MW,Thursday,57,5,7,Credit Card,Clothing,Leggings,250.000000,Low
B-25973,2023-01-24,Reed,Ohio,MW,Tuesday,39,5,5,Credit Card,Clothing,Leggings,170.000000,Low
B-25973,2023-01-24,Reed,Ohio,MW,Tuesday,398,8,36,Credit Card,Clothing,Hat,2896.000000,High
B-25973,2023-01-24,Reed,Ohio,MW,Tuesday,4141,13,188,Credit Card,Electronics,Printers,51389.000000,High
B-25973,2023-01-24,Reed,Ohio,MW,Tuesday,571,12,39,Debit Card,Clothing,Scarf,6384.000000,High
B-25973,2023-01-24,Reed,Ohio,MW,Tuesday,79,2,20,Debit Card,Clothing,Shirt,118.000000,Low
B-26042,2023-02-28,Bell,Indiana,MW,Tuesday,36,3,7,EFT,Clothing,Scarf,87.000000,Low
B-26006,2023-02-09,Washington,Michigan,MW,Thursday,1301,5,146,COD,Electronics,Accessories,5775.000000,High
B-26019,2023-02-15,Perez,Ohio,MW,Wednesday,585,13,32,Credit Card,Clothing,T - shirt,7189.000000,High
B-26081,2023-03-22,Wilson,Wisconsin,MW,Wednesday,169,3,56,Credit Card,Electronics,Accessories,339.000000,Low
B-26081,2023-03-22,Wilson,Wisconsin,MW,Wednesday,24,3,4,Debit Card,Clothing,Hat,60.000000,Low
B-26081,2023-03-22,Wilson,Wisconsin,MW,Wednesday,359,5,139,Credit Card,Furniture,Bookcases,1100.000000,Avg
B-26081,2023-03-22,Wilson,Wisconsin,MW,Wednesday,637,5,117,Credit Card,Clothing,Dress,2600.000000,High
B-26081,2023-03-22,Wilson,Wisconsin,MW,Wednesday,79,4,12,EFT,Clothing,Scarf,268.000000,Low
B-26081,2023-03-22,Wilson,Wisconsin,MW,Wednesday,93,3,59,EFT,Clothing,Dress,102.000000,Low
B-25828,2023-10-24,Munoz,Illinois,MW,Tuesday,128,3,44,Debit Card,Clothing,Dress,252.000000,Low
B-25828,2023-10-24,Munoz,Illinois,MW,Tuesday,15,1,13,Credit Card,Clothing,Leggings,2.000000,Low
B-25828,2023-10-24,Munoz,Illinois,MW,Tuesday,222,5,37,COD,Clothing,Dress,925.000000,Low
B-25828,2023-10-24,Munoz,Illinois,MW,Tuesday,537,3,143,Credit Card,Clothing,Dress,1182.000000,Avg
B-25921,2023-12-25,Schneider,Illinois,MW,Monday,170,5,30,EFT,Clothing,T - shirt,700.000000,Low
B-25921,2023-12-25,Schneider,Illinois,MW,Monday,71,5,23,EFT,Electronics,Accessories,240.000000,Low
B-25921,2023-12-25,Schneider,Illinois,MW,Monday,84,2,63,Credit Card,Electronics,Accessories,42.000000,Low
B-25612,2023-04-12,Nelson,Illinois,MW,Wednesday,259,2,157,Credit Card,Furniture,Chairs,204.000000,Low
B-25625,2023-04-23,King,Missouri,MW,Sunday,59,3,30,Debit Card,Clothing,Leggings,87.000000,Low
B-25625,2023-04-23,King,Missouri,MW,Sunday,635,5,197,Debit Card,Clothing,Dress,2190.000000,High
B-25625,2023-04-23,King,Missouri,MW,Sunday,97,2,34,EFT,Clothing,Hat,126.000000,Low
B-25887,2023-12-01,Reynolds,Ohio,MW,Friday,2125,6,393,EFT,Electronics,Printers,10392.000000,High
B-25887,2023-12-01,Reynolds,Ohio,MW,Friday,83,6,13,EFT,Clothing,Shirt,420.000000,Low
B-25614,2023-04-13,Mitchell,Indiana,MW,Thursday,494,4,110,Credit Card,Furniture,Bookcases,1536.000000,Avg
B-25614,2023-04-13,Mitchell,Indiana,MW,Thursday,98,2,55,COD,Electronics,Electronic Games,86.000000,Low
B-25786,2023-09-19,Reed,Ohio,MW,Tuesday,17,3,9,EFT,Clothing,Skirt,24.000000,Low
B-25786,2023-09-19,Reed,Ohio,MW,Tuesday,1854,5,284,COD,Furniture,Bookcases,7850.000000,High
B-25786,2023-09-19,Reed,Ohio,MW,Tuesday,44,3,26,COD,Clothing,Scarf,54.000000,Low
B-25786,2023-09-19,Reed,Ohio,MW,Tuesday,623,3,272,EFT,Furniture,Tables,1053.000000,Avg
B-25930,2023-01-03,Chapman,Illinois,MW,Tuesday,151,5,24,EFT,Clothing,Hat,635.000000,Low
B-25930,2023-01-03,Chapman,Illinois,MW,Tuesday,202,9,13,EFT,Clothing,T - shirt,1701.000000,Avg
B-25930,2023-01-03,Chapman,Illinois,MW,Tuesday,351,5,89,Credit Card,Electronics,Electronic Games,1310.000000,Avg
B-25930,2023-01-03,Chapman,Illinois,MW,Tuesday,40,3,9,Credit Card,Clothing,T - shirt,93.000000,Low
B-25930,2023-01-03,Chapman,Illinois,MW,Tuesday,58,2,21,Credit Card,Clothing,Hat,74.000000,Low
B-25930,2023-01-03,Chapman,Illinois,MW,Tuesday,595,4,119,Credit Card,Furniture,Bookcases,1904.000000,Avg
B-25840,2023-10-31,Bates,Michigan,MW,Tuesday,246,2,93,COD,Furniture,Bookcases,306.000000,Low
B-25840,2023-10-31,Bates,Michigan,MW,Tuesday,262,6,33,EFT,Clothing,Dress,1374.000000,Avg
B-25840,2023-10-31,Bates,Michigan,MW,Tuesday,298,2,112,Credit Card,Furniture,Bookcases,372.000000,Low
B-25804,2023-10-05,Santiago,Michigan,MW,Thursday,156,5,24,EFT,Clothing,T - shirt,660.000000,Low
B-25804,2023-10-05,Santiago,Michigan,MW,Thursday,321,3,98,Debit Card,Electronics,Printers,669.000000,Low
B-26022,2023-02-18,Nelson,Illinois,MW,Saturday,1824,8,65,COD,Electronics,Phones,14072.000000,High
B-25698,2023-06-23,Bryant,Wisconsin,MW,Friday,207,3,18,COD,Clothing,Dress,567.000000,Low
B-25698,2023-06-23,Bryant,Wisconsin,MW,Friday,27,4,8,Credit Card,Clothing,Hat,76.000000,Low
B-25698,2023-06-23,Bryant,Wisconsin,MW,Friday,516,8,16,Credit Card,Furniture,Chairs,4000.000000,High
B-25698,2023-06-23,Bryant,Wisconsin,MW,Friday,65,2,41,Debit Card,Electronics,Phones,48.000000,Low
B-25698,2023-06-23,Bryant,Wisconsin,MW,Friday,7,1,9,Credit Card,Clothing,Hat,-2.000000,Loss
B-25698,2023-06-23,Bryant,Wisconsin,MW,Friday,87,5,34,Credit Card,Clothing,Shirt,265.000000,Low
B-25660,2023-05-16,Garcia,Michigan,MW,Tuesday,245,3,108,Credit Card,Clothing,Dress,411.000000,Low
B-25807,2023-10-07,Steele,Ohio,MW,Saturday,16,1,10,Credit Card,Clothing,Scarf,6.000000,Low
B-25894,2023-12-04,Lawrence,Illinois,MW,Monday,1246,3,395,EFT,Furniture,Bookcases,2553.000000,High
B-25927,2023-12-31,Smith,Ohio,MW,Sunday,200,4,48,COD,Electronics,Electronic Games,608.000000,Low
B-25861,2023-11-15,Gonzales,Ohio,MW,Wednesday,128,3,41,Credit Card,Clothing,Dress,261.000000,Low
B-25861,2023-11-15,Gonzales,Ohio,MW,Wednesday,216,3,100,Credit Card,Electronics,Electronic Games,348.000000,Low
B-25861,2023-11-15,Gonzales,Ohio,MW,Wednesday,44,3,10,Debit Card,Clothing,Hat,102.000000,Low
B-25861,2023-11-15,Gonzales,Ohio,MW,Wednesday,50,2,24,EFT,Clothing,Scarf,52.000000,Low
B-25861,2023-11-15,Gonzales,Ohio,MW,Wednesday,56,2,19,EFT,Clothing,Hat,74.000000,Low
B-25861,2023-11-15,Gonzales,Ohio,MW,Wednesday,62,5,11,Credit Card,Clothing,Hat,255.000000,Low
B-25732,2023-07-27,Kennedy,Michigan,MW,Thursday,16,2,11,EFT,Clothing,Scarf,10.000000,Low
B-25788,2023-09-21,Rose,Wisconsin,MW,Thursday,12,1,9,EFT,Clothing,Scarf,3.000000,Low
B-25609,2023-04-09,Perez,Ohio,MW,Sunday,249,4,64,Credit Card,Clothing,Dress,740.000000,Low
B-25609,2023-04-09,Perez,Ohio,MW,Sunday,485,4,114,Credit Card,Electronics,Electronic Games,1484.000000,Avg
B-25678,2023-06-03,Shaw,Michigan,MW,Saturday,27,2,26,Debit Card,Clothing,Shirt,2.000000,Low
B-25678,2023-06-03,Shaw,Michigan,MW,Saturday,327,1,366,Credit Card,Electronics,Phones,-39.000000,Loss
B-25678,2023-06-03,Shaw,Michigan,MW,Saturday,64,3,24,Credit Card,Clothing,Dress,120.000000,Low
B-25678,2023-06-03,Shaw,Michigan,MW,Saturday,7,2,5,EFT,Clothing,Skirt,4.000000,Low
B-26098,2023-03-29,King,Missouri,MW,Wednesday,409,3,108,Credit Card,Clothing,Dress,903.000000,Low
B-26098,2023-03-29,King,Missouri,MW,Wednesday,46,5,6,Credit Card,Clothing,Skirt,200.000000,Low
B-26098,2023-03-29,King,Missouri,MW,Wednesday,497,3,106,Debit Card,Furniture,Chairs,1173.000000,Avg
B-26098,2023-03-29,King,Missouri,MW,Wednesday,59,2,22,EFT,Clothing,T - shirt,74.000000,Low
B-26098,2023-03-29,King,Missouri,MW,Wednesday,82,3,25,EFT,Electronics,Accessories,171.000000,Low
B-26098,2023-03-29,King,Missouri,MW,Wednesday,96,5,29,EFT,Clothing,Leggings,335.000000,Low
B-25846,2023-11-03,Ortega,Illinois,MW,Friday,94,7,12,EFT,Clothing,Leggings,574.000000,Low
B-26097,2023-03-28,Roberts,Michigan,MW,Tuesday,14,1,9,EFT,Clothing,Hat,5.000000,Low
B-26097,2023-03-28,Roberts,Michigan,MW,Tuesday,185,6,35,Credit Card,Furniture,Chairs,900.000000,Low
B-26097,2023-03-28,Roberts,Michigan,MW,Tuesday,19,2,6,COD,Clothing,Hat,26.000000,Low
B-26097,2023-03-28,Roberts,Michigan,MW,Tuesday,39,2,29,COD,Clothing,Leggings,20.000000,Low
B-26097,2023-03-28,Roberts,Michigan,MW,Tuesday,663,5,175,EFT,Electronics,Printers,2440.000000,High
B-26097,2023-03-28,Roberts,Michigan,MW,Tuesday,671,5,196,Credit Card,Electronics,Electronic Games,2375.000000,High
B-26097,2023-03-28,Roberts,Michigan,MW,Tuesday,97,2,43,EFT,Clothing,Hat,108.000000,Low
B-25761,2023-08-25,Bailey,Ohio,MW,Friday,102,1,192,Credit Card,Clothing,Dress,-90.000000,Loss
B-25761,2023-08-25,Bailey,Ohio,MW,Friday,2188,5,228,COD,Furniture,Bookcases,9800.000000,High
B-25761,2023-08-25,Bailey,Ohio,MW,Friday,263,9,33,Debit Card,Electronics,Electronic Games,2070.000000,High
B-25761,2023-08-25,Bailey,Ohio,MW,Friday,328,3,114,Debit Card,Electronics,Electronic Games,642.000000,Low
B-25761,2023-08-25,Bailey,Ohio,MW,Friday,40,3,13,COD,Clothing,Dress,81.000000,Low
B-25761,2023-08-25,Bailey,Ohio,MW,Friday,418,7,50,Credit Card,Electronics,Phones,2576.000000,High
B-25975,2023-01-25,Jones,Ohio,MW,Wednesday,29,3,9,Credit Card,Clothing,Skirt,60.000000,Low
B-25668,2023-05-24,Price,Indiana,MW,Wednesday,123,3,35,Credit Card,Furniture,Furnishings,264.000000,Low
B-25938,2023-01-05,Russell,Indiana,MW,Thursday,59,3,11,Credit Card,Clothing,Scarf,144.000000,Low
B-25938,2023-01-05,Russell,Indiana,MW,Thursday,61,2,30,Credit Card,Furniture,Furnishings,62.000000,Low
B-25881,2023-11-25,Andrews,Ohio,MW,Saturday,1351,6,207,Credit Card,Electronics,Electronic Games,6864.000000,High
B-25881,2023-11-25,Andrews,Ohio,MW,Saturday,2115,5,418,Credit Card,Furniture,Chairs,8485.000000,High
B-25881,2023-11-25,Andrews,Ohio,MW,Saturday,2244,4,499,COD,Clothing,Pants,6980.000000,High
B-25881,2023-11-25,Andrews,Ohio,MW,Saturday,26,2,9,Credit Card,Clothing,Leggings,34.000000,Low
B-25881,2023-11-25,Andrews,Ohio,MW,Saturday,36,3,10,Debit Card,Clothing,Leggings,78.000000,Low
B-25881,2023-11-25,Andrews,Ohio,MW,Saturday,37,3,11,Credit Card,Clothing,Hat,78.000000,Low
B-25936,2023-01-05,Morrison,Illinois,MW,Thursday,61,4,9,EFT,Clothing,Dress,208.000000,Low
B-25608,2023-04-08,Wilson,Wisconsin,MW,Saturday,1364,5,-100,COD,Furniture,Tables,7320.000000,High
B-25608,2023-04-08,Wilson,Wisconsin,MW,Saturday,257,5,47,Credit Card,Clothing,Hat,1050.000000,Avg
B-25608,2023-04-08,Wilson,Wisconsin,MW,Saturday,476,3,159,Credit Card,Furniture,Chairs,951.000000,Low
B-25608,2023-04-08,Wilson,Wisconsin,MW,Saturday,856,6,79,Credit Card,Electronics,Printers,4662.000000,High
B-25630,2023-04-24,Long,Illinois,MW,Monday,114,5,31,Credit Card,Clothing,Shirt,415.000000,Low
B-25630,2023-04-24,Long,Illinois,MW,Monday,133,5,24,Debit Card,Clothing,Scarf,545.000000,Low
B-25630,2023-04-24,Long,Illinois,MW,Monday,143,2,136,Credit Card,Electronics,Phones,14.000000,Low
B-25630,2023-04-24,Long,Illinois,MW,Monday,34,4,14,Credit Card,Clothing,T - shirt,80.000000,Low
B-25630,2023-04-24,Long,Illinois,MW,Monday,40,3,16,Credit Card,Clothing,Scarf,72.000000,Low
B-25630,2023-04-24,Long,Illinois,MW,Monday,42,2,34,Credit Card,Clothing,Shirt,16.000000,Low
