Order ID,Order Date,CustomerName,State,Region,DOW,Sale Price,Quantity,Cost per Item,PaymentMode,Category,Sub-Category,Profit,Profitability
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,174,3,81,Credit Card,Electronics,Accessories,279.000000,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,206,3,137,Credit Card,Clothing,Dress,207.000000,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,21,3,11,EFT,Clothing,Leggings,30.000000,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,24,7,6,Credit Card,Clothing,Skirt,126.000000,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,25,5,5,EFT,Clothing,Hat,100.000000,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,34,4,10,Credit Card,Clothing,Leggings,96.000000,Low
B-25652,2023-05-08,Jordan,Massachusetts,NE,Monday,9,2,8,Credit Card,Clothing,Hat,2.000000,Low
B-26014,2023-02-13,Harris,New York,NE,Monday,278,5,48,Debit Card,Furniture,Chairs,1150.000000,Avg
B-26014,2023-02-13,Harris,New York,NE,Monday,406,7,44,COD,Furniture,Chairs,2534.000000,High
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,134,2,84,Credit Card,Furniture,Chairs,100.000000,Low
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,1709,3,382,COD,Clothing,Pants,3981.000000,High
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,257,2,130,EFT,Furniture,Bookcases,254.000000,Low
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,26,2,11,EFT,Clothing,Dress,30.000000,Low
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,321,5,1,EFT,Clothing,Dress,1600.000000,Avg
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,37,3,30,COD,Clothing,Dress,21.000000,Low
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,47,2,25,EFT,Clothing,Scarf,44.000000,Low
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,593,4,95,Debit Card,Furniture,Bookcases,1992.000000,Avg
B-25755,2023-08-19,Douglas,Virginia,NE,Saturday,80,5,20,EFT,Clothing,Scarf,300.000000,Low
B-25784,2023-09-15,Walsh,New York,NE,Friday,15,1,11,Debit Card,Clothing,Hat,4.000000,Low
B-25665,2023-05-21,Robertson,Virginia,NE,Sunday,166,4,70,EFT,Electronics,Accessories,384.000000,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,166,2,70,EFT,Electronics,Accessories,192.000000,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,169,4,29,Debit Card,Clothing,Dress,560.000000,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,284,6,40,Credit Card,Clothing,Hat,1464.000000,Avg
B-26050,2023-03-06,Watson,New York,NE,Monday,32,3,9,EFT,Clothing,Shirt,69.000000,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,325,7,42,Credit Card,Clothing,T - shirt,1981.000000,Avg
B-26050,2023-03-06,Watson,New York,NE,Monday,38,2,15,Credit Card,Clothing,Scarf,46.000000,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,382,2,145,Credit Card,Electronics,Printers,474.000000,Low
B-26050,2023-03-06,Watson,New York,NE,Monday,487,4,86,EFT,Electronics,Phones,1604.000000,Avg
B-26050,2023-03-06,Watson,New York,NE,Monday,79,3,16,Debit Card,Clothing,Dress,189.000000,Low
B-25867,2023-11-17,Martin,Maryland,NE,Friday,163,4,34,Credit Card,Clothing,Shirt,516.000000,Low
B-25867,2023-11-17,Martin,Maryland,NE,Friday,240,6,38,EFT,Clothing,Shirt,1212.000000,Avg
B-25867,2023-11-17,Martin,Maryland,NE,Friday,31,3,6,EFT,Clothing,Scarf,75.000000,Low
B-25998,2023-02-04,Ruiz,New York,NE,Saturday,50,5,16,Credit Card,Furniture,Furnishings,170.000000,Low
B-26095,2023-03-28,Wright,New York,NE,Tuesday,6,1,5,EFT,Clothing,Shirt,1.000000,Low
B-26021,2023-02-17,Hernandez,Virginia,NE,Friday,122,7,9,Credit Card,Furniture,Furnishings,791.000000,Low
