Order ID,Order Date,CustomerName,State,Region,DOW,Sale Price,Quantity,Cost per Item,PaymentMode,Category,Sub-Category,Profit,Profitability
B-25907,2023-12-11,Hansen,Florida,SE,Monday,30,5,4,Credit Card,Clothing,Hat,130.000000,Low
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,1337,7,170,COD,Electronics,Printers,8169.000000,High
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,184,6,17,EFT,Clothing,T - shirt,1002.000000,Avg
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,216,4,42,Credit Card,Clothing,Scarf,696.000000,Low
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,382,2,132,COD,Clothing,Dress,500.000000,Low
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,490,2,201,EFT,Electronics,Accessories,578.000000,Low
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,600,5,140,Debit Card,Electronics,Electronic Games,2300.000000,High
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,669,5,119,Credit Card,Furniture,Bookcases,2750.000000,High
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,676,5,96,Debit Card,Furniture,Bookcases,2900.000000,High
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,80,3,19,EFT,Clothing,Scarf,183.000000,Low
B-26051,2023-03-07,Brooks,Georgia,SE,Tuesday,85,10,6,Debit Card,Clothing,Hat,790.000000,Low
B-25765,2023-08-29,Willis,Florida,SE,Tuesday,139,3,42,Credit Card,Clothing,Scarf,291.000000,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,245,2,77,EFT,Furniture,Bookcases,336.000000,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,42,3,10,Credit Card,Clothing,Leggings,96.000000,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,48,3,15,Credit Card,Clothing,Scarf,99.000000,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,54,3,14,Debit Card,Clothing,Dress,120.000000,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,62,2,27,EFT,Clothing,T - shirt,70.000000,Low
B-25981,2023-01-28,Murray,North Carolina,SE,Saturday,867,5,123,Credit Card,Electronics,Phones,3720.000000,High
B-26002,2023-02-08,Clark,North Carolina,SE,Wednesday,113,2,43,EFT,Clothing,Dress,140.000000,Low
B-26002,2023-02-08,Clark,North Carolina,SE,Wednesday,141,7,19,Credit Card,Clothing,Dress,854.000000,Low
B-26002,2023-02-08,Clark,North Carolina,SE,Wednesday,276,5,45,EFT,Clothing,Dress,1155.000000,Avg
B-26002,2023-02-08,Clark,North Carolina,SE,Wednesday,71,3,17,Credit Card,Clothing,T - shirt,162.000000,Low
B-26002,2023-02-08,Clark,North Carolina,SE,Wednesday,80,3,19,Debit Card,Clothing,Scarf,183.000000,Low
B-25827,2023-10-23,Davis,Florida,SE,Monday,156,3,45,Credit Card,Furniture,Chairs,333.000000,Low
B-25859,2023-11-14,Holmes,Florida,SE,Tuesday,724,2,236,EFT,Furniture,Bookcases,976.000000,Low
B-25905,2023-12-11,Wagner,North Carolina,SE,Monday,152,6,17,EFT,Clothing,Scarf,810.000000,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,106,3,31,COD,Clothing,Pants,225.000000,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,137,5,26,Credit Card,Clothing,Shirt,555.000000,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,185,4,34,COD,Clothing,Scarf,604.000000,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,269,1,178,Credit Card,Electronics,Electronic Games,91.000000,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,511,3,106,EFT,Furniture,Chairs,1215.000000,Avg
B-25803,2023-10-05,Rios,Florida,SE,Thursday,536,1,445,Credit Card,Clothing,Pants,91.000000,Low
B-25803,2023-10-05,Rios,Florida,SE,Thursday,757,2,193,COD,Electronics,Printers,1128.000000,Avg
B-25803,2023-10-05,Rios,Florida,SE,Thursday,765,6,126,EFT,Clothing,Dress,3834.000000,High
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,17,2,10,EFT,Clothing,Scarf,14.000000,Low
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,186,9,-6,COD,Clothing,Shirt,1728.000000,Avg
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,22,4,9,Credit Card,Clothing,Shirt,52.000000,Low
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,231,9,47,Credit Card,Clothing,Hat,1656.000000,Avg
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,32,5,7,EFT,Clothing,Hat,125.000000,Low
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,42,2,33,EFT,Furniture,Furnishings,18.000000,Low
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,47,4,19,Credit Card,Clothing,Dress,112.000000,Low
B-25703,2023-06-28,Flores,Florida,SE,Wednesday,97,4,36,Credit Card,Clothing,Dress,244.000000,Low
B-26076,2023-03-21,Walker,Florida,SE,Tuesday,133,5,17,EFT,Clothing,Shirt,580.000000,Low
B-26076,2023-03-21,Walker,Florida,SE,Tuesday,219,2,108,Credit Card,Clothing,Dress,222.000000,Low
B-26076,2023-03-21,Walker,Florida,SE,Tuesday,450,4,160,Credit Card,Furniture,Bookcases,1160.000000,Avg
B-26076,2023-03-21,Walker,Florida,SE,Tuesday,60,2,24,Credit Card,Clothing,T - shirt,72.000000,Low
B-26076,2023-03-21,Walker,Florida,SE,Tuesday,91,2,35,EFT,Clothing,Scarf,112.000000,Low
B-25657,2023-05-13,Patterson,Florida,SE,Saturday,1021,4,267,EFT,Electronics,Electronic Games,3016.000000,High
B-25657,2023-05-13,Patterson,Florida,SE,Saturday,288,4,117,Credit Card,Furniture,Chairs,684.000000,Low
B-25657,2023-05-13,Patterson,Florida,SE,Saturday,32,5,11,EFT,Clothing,Dress,105.000000,Low
B-25657,2023-05-13,Patterson,Florida,SE,Saturday,332,6,63,EFT,Electronics,Phones,1614.000000,Avg
B-25605,2023-04-05,Young,Georgia,SE,Wednesday,75,7,11,EFT,Clothing,Dress,448.000000,Low
B-25692,2023-06-17,Hughes,Florida,SE,Saturday,141,7,16,EFT,Furniture,Furnishings,875.000000,Low
B-25637,2023-04-26,Edwards,Florida,SE,Wednesday,117,3,34,EFT,Clothing,Shirt,249.000000,Low
B-26037,2023-02-23,Robinson,Florida,SE,Thursday,171,7,15,EFT,Clothing,Scarf,1092.000000,Avg
B-25750,2023-08-14,Welch,Florida,SE,Monday,19,1,20,Debit Card,Clothing,Shirt,-1.000000,Loss
